Model,Accuracy,Precision,Recall,F1 Score,Time (seconds)
Random Forest,0.77425,0.7737974110492752,0.77425,0.7715538723208135,140.84607911109924
Logistic Regression,0.7542,0.7588028718027666,0.7542,0.750436777766858,12.889132499694824
Support Vector Machine,0.87815,0.8779604561297488,0.87815,0.8778051995670482,1000.0001454353333
K-Nearest Neighbors,0.74175,0.7433081487985428,0.74175,0.7388902482246382,4.8577916622161865
MLP Classifier,0.84545,0.8451118254256126,0.84545,0.8442012451359711,1023.8558080196381
