Model,Accuracy,Precision,Recall,F1 Score,Time (seconds)
Random Forest,0.5447901440801838,0.5373410169314529,0.5447901440801838,0.4902938883855017,64.3113043308258
Logistic Regression,0.5011484652328252,0.4481289402042247,0.5011484652328252,0.42303318646142435,60.59618377685547
Support Vector Machine,0.7103779494675297,0.6720945213852345,0.7103779494675297,0.6772473454656012,391.9327790737152
K-Nearest Neighbors,0.20818542493213615,0.49603776535918903,0.20818542493213615,0.22018590818232153,1.4358494281768799
MLP Classifier,0.7045312173731468,0.6586189257493532,0.7045312173731468,0.6750199526111155,357.9446687698364
