Model,Accuracy,Precision,Recall,F1 Score,Time (seconds)
Random Forest,0.8244,0.8258772898211674,0.8244,0.8235012123114175,66.62388181686401
Logistic Regression,0.8056,0.8064862830925528,0.8056,0.8039916529954227,36.2274968624115
Support Vector Machine,0.86475,0.8644691014595528,0.86475,0.8642756040718683,611.7829532623291
K-Nearest Neighbors,0.7973,0.7990281577629508,0.7973,0.7959500620141217,3.1414663791656494
MLP Classifier,0.86845,0.8688582005567097,0.86845,0.8682296473792623,425.7920255661011
