Model,Accuracy,Precision,Recall,F1 Score,Time (seconds)
Random Forest,0.6373982042179995,0.6209618233595028,0.6373982042179995,0.590853964405279,49.811420917510986
Logistic Regression,0.5755898935059511,0.5362968660185801,0.5755898935059511,0.5116055744747308,30.310633420944214
Support Vector Machine,0.725725621215285,0.7181240340310568,0.725725621215285,0.6901665887387765,175.30178308486938
K-Nearest Neighbors,0.5144080183754437,0.5360394730022531,0.5144080183754437,0.4927170345185311,0.9087705612182617
MLP Classifier,0.7469200250574233,0.6999693201007496,0.7469200250574233,0.7177696058376521,256.695837020874
