Model,Accuracy,Precision,Recall,F1 Score,Time (seconds)
Random Forest,0.6710169137607016,0.6380573383802559,0.6710169137607016,0.6317654781421916,50.286832332611084
Logistic Regression,0.6226769680517853,0.5873527406475106,0.6226769680517853,0.5705601702952371,27.73880910873413
Support Vector Machine,0.7248903737732303,0.7169290711799235,0.7248903737732303,0.6896148230801011,99.51375842094421
K-Nearest Neighbors,0.582793902693673,0.5898089439529259,0.582793902693673,0.5584994893451684,0.8360915184020996
MLP Classifier,0.7484861140112758,0.701879683284676,0.7484861140112758,0.7191768233921633,218.68099522590637
