Model,Accuracy,Precision,Recall,F1 Score,Time (seconds)
Random Forest,0.7728,0.7729927396982373,0.7728,0.7703029590501937,139.03939700126648
Logistic Regression,0.6531,0.6547362826134411,0.6531,0.648167290921743,144.46487498283386
Support Vector Machine,0.10615,0.08207790863533758,0.10615,0.04371012868559249,4011.3030409812927
K-Nearest Neighbors,0.561,0.5683415923299218,0.561,0.5593427768442835,48.98366069793701
MLP Classifier,0.83,0.8353954829030703,0.83,0.8301541840629083,615.4836051464081
