Model,Accuracy,Precision,Recall,F1 Score,Time (seconds)
Random Forest,0.85445,0.8557403701454447,0.85445,0.8539538293022714,51.82023644447327
Logistic Regression,0.8161,0.8164987247236344,0.8161,0.8149894676008427,24.582866668701172
Support Vector Machine,0.86185,0.8615840335788671,0.86185,0.8613281839827323,348.551038980484
K-Nearest Neighbors,0.848,0.8496875158823272,0.848,0.8472001454871119,2.3572824001312256
MLP Classifier,0.8665,0.8657958763302455,0.8665,0.865875572311794,317.4993722438812
