Model,Accuracy,Precision,Recall,F1 Score,Time (seconds)
Random Forest,0.5481311338484026,0.5475692281383571,0.5481311338484026,0.4964666586733354,63.94336485862732
Logistic Regression,0.11923157235330967,0.014216167845842518,0.11923157235330967,0.02540344321408202,83.19231152534485
Support Vector Machine,0.2424305700563792,0.15941965052556462,0.2424305700563792,0.16621081432925194,630.7099249362946
K-Nearest Neighbors,0.18041344748381707,0.1760742885178595,0.18041344748381707,0.1744052384548689,1.7104907035827637
MLP Classifier,0.2502610148256421,0.2380784967173447,0.2502610148256421,0.1606246665131959,255.4681510925293
